ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,Preferred Foot,International Reputation,Weak Foot,Skill Moves,Work Rate,Body Type,Real Face,Position,Jersey Number,Joined,Loaned From,Contract Valid Until,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Best Position,Best Overall Rating,Release Clause,DefensiveAwareness
177003,L. Modrić,35,https://cdn.sofifa.com/players/177/003/22_60.png,Croatia,https://cdn.sofifa.com/flags/hr.png,87,87,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,€32M,€190K,2253,Right,4.0,4.0,4.0,Medium/ Medium,Lean (170-185),Yes,"<span class=""pos pos13"">RCM",10.0,"Aug 1, 2012",nan,2022,172cm,66kg,86.0,72.0,55.0,91.0,76.0,85.0,85.0,78.0,89.0,90.0,76.0,70.0,91.0,88.0,92.0,79.0,67.0,83.0,58.0,82.0,62.0,80.0,78.0,90.0,82.0,92.0,nan,75.0,71.0,13.0,9.0,7.0,14.0,9.0,CM,87.0,€65.6M,70.0
226161,Marcos Llorente,26,https://cdn.sofifa.com/players/226/161/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,89,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,€88M,€95K,2252,Right,3.0,4.0,3.0,High/ Medium,Lean (170-185),Yes,"<span class=""pos pos12"">RM",14.0,"Jul 1, 2019",nan,2027,184cm,74kg,74.0,81.0,67.0,86.0,64.0,82.0,73.0,58.0,83.0,84.0,86.0,90.0,82.0,86.0,69.0,84.0,69.0,90.0,79.0,79.0,83.0,82.0,87.0,86.0,64.0,83.0,nan,80.0,74.0,13.0,6.0,6.0,11.0,15.0,CAM,87.0,€187M,79.0
155862,Sergio Ramos,35,https://cdn.sofifa.com/players/155/862/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,88,88,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,€24M,€115K,2251,Right,4.0,3.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos6"">LCB",4.0,"Jul 8, 2021",nan,2023,184cm,82kg,66.0,65.0,92.0,82.0,69.0,65.0,74.0,76.0,83.0,83.0,71.0,69.0,77.0,92.0,66.0,79.0,93.0,78.0,84.0,64.0,90.0,87.0,73.0,71.0,92.0,88.0,nan,89.0,91.0,11.0,8.0,9.0,7.0,11.0,CB,88.0,€44.4M,84.0
197445,D. Alaba,29,https://cdn.sofifa.com/players/197/445/22_60.png,Austria,https://cdn.sofifa.com/flags/at.png,84,84,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,€35.5M,€195K,2247,Left,4.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos7"">LB",4.0,"Jul 1, 2021",nan,2026,180cm,78kg,80.0,60.0,74.0,85.0,67.0,77.0,77.0,85.0,80.0,84.0,78.0,77.0,76.0,88.0,77.0,82.0,81.0,75.0,76.0,78.0,74.0,85.0,73.0,78.0,79.0,85.0,nan,83.0,82.0,5.0,7.0,14.0,15.0,9.0,CB,84.0,€72.8M,86.0
225193,Merino,25,https://cdn.sofifa.com/players/225/193/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,87,Real Sociedad,https://cdn.sofifa.com/teams/457/30.png,€50M,€47K,2244,Left,1.0,3.0,3.0,High/ High,Normal (185+),Yes,"<span class=""pos pos13"">RCM",8.0,"Jul 12, 2018",nan,2025,189cm,83kg,77.0,79.0,81.0,84.0,58.0,83.0,80.0,69.0,82.0,84.0,73.0,75.0,76.0,84.0,72.0,84.0,81.0,84.0,79.0,78.0,81.0,84.0,78.0,83.0,58.0,80.0,nan,84.0,76.0,9.0,12.0,9.0,13.0,14.0,CM,85.0,€108.8M,80.0
224232,N. Barella,24,https://cdn.sofifa.com/players/224/232/22_60.png,Italy,https://cdn.sofifa.com/flags/it.png,84,89,Inter,https://cdn.sofifa.com/teams/44/30.png,€63.5M,€120K,2236,Right,3.0,3.0,3.0,High/ High,Normal (170-),Yes,"<span class=""pos pos13"">RCM",23.0,"Sep 1, 2020",nan,2024,172cm,68kg,69.0,69.0,53.0,86.0,75.0,83.0,75.0,67.0,79.0,87.0,80.0,76.0,91.0,89.0,90.0,69.0,78.0,95.0,69.0,72.0,79.0,84.0,83.0,83.0,73.0,85.0,nan,75.0,79.0,11.0,5.0,13.0,14.0,11.0,CM,87.0,€112.7M,74.0
212462,Alex Telles,28,https://cdn.sofifa.com/players/212/462/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,82,82,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€27.5M,€130K,2235,Left,3.0,2.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos28"">SUB",27.0,"Oct 5, 2020",nan,2024,181cm,71kg,86.0,63.0,68.0,82.0,62.0,77.0,87.0,79.0,81.0,80.0,81.0,84.0,75.0,81.0,70.0,87.0,81.0,85.0,65.0,83.0,76.0,79.0,75.0,78.0,81.0,77.0,nan,78.0,76.0,13.0,8.0,12.0,11.0,14.0,LB,82.0,€50.9M,77.0
228702,F. de Jong,24,https://cdn.sofifa.com/players/228/702/22_60.png,Netherlands,https://cdn.sofifa.com/flags/nl.png,87,92,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€119.5M,€210K,2229,Right,3.0,3.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos13"">RCM",21.0,"Jul 1, 2019",nan,2026,180cm,74kg,78.0,72.0,72.0,91.0,70.0,88.0,84.0,64.0,87.0,89.0,80.0,82.0,88.0,88.0,79.0,68.0,76.0,90.0,74.0,66.0,75.0,82.0,77.0,86.0,45.0,90.0,nan,76.0,77.0,7.0,13.0,10.0,10.0,9.0,CM,89.0,€253.9M,76.0
204923,M. Sabitzer,27,https://cdn.sofifa.com/players/204/923/22_60.png,Austria,https://cdn.sofifa.com/flags/at.png,84,85,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,€48M,€110K,2229,Right,3.0,4.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos28"">SUB",18.0,"Aug 30, 2021",nan,2025,178cm,76kg,74.0,81.0,60.0,84.0,82.0,79.0,76.0,78.0,81.0,82.0,75.0,81.0,75.0,86.0,80.0,88.0,71.0,85.0,76.0,88.0,77.0,66.0,83.0,83.0,72.0,80.0,nan,70.0,59.0,11.0,13.0,14.0,15.0,13.0,CM,84.0,€82.8M,71.0
193082,J. Cuadrado,33,https://cdn.sofifa.com/players/193/082/22_60.png,Colombia,https://cdn.sofifa.com/flags/co.png,83,83,Juventus,https://cdn.sofifa.com/teams/45/30.png,€19M,€95K,2229,Right,3.0,3.0,5.0,High/ Medium,Lean (170-185),Yes,"<span class=""pos pos12"">RM",11.0,"Feb 2, 2015",nan,2022,179cm,72kg,84.0,70.0,67.0,81.0,70.0,90.0,80.0,69.0,69.0,85.0,91.0,89.0,94.0,82.0,81.0,84.0,80.0,78.0,66.0,80.0,78.0,73.0,75.0,72.0,65.0,74.0,nan,80.0,83.0,5.0,5.0,13.0,6.0,9.0,RB,83.0,€31.4M,75.0
193747,Koke,29,https://cdn.sofifa.com/players/193/747/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,85,85,Atlético de Madrid,https://cdn.sofifa.com/teams/240/30.png,€52.5M,€90K,2227,Right,3.0,4.0,3.0,Medium/ Medium,Normal (170-185),Yes,"<span class=""pos pos13"">RCM",6.0,"Jan 1, 2011",nan,2024,176cm,75kg,85.0,72.0,61.0,86.0,56.0,80.0,85.0,76.0,84.0,83.0,72.0,69.0,73.0,88.0,82.0,83.0,59.0,93.0,75.0,80.0,79.0,83.0,83.0,86.0,67.0,86.0,nan,81.0,70.0,14.0,12.0,5.0,10.0,13.0,CM,85.0,€107.6M,82.0
210514,João Cancelo,27,https://cdn.sofifa.com/players/210/514/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,86,87,Manchester City,https://cdn.sofifa.com/teams/10/30.png,€71.5M,€185K,2227,Right,3.0,4.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos7"">LB",27.0,"Aug 7, 2019",nan,2025,182cm,74kg,86.0,68.0,72.0,85.0,62.0,85.0,84.0,69.0,78.0,85.0,86.0,84.0,80.0,85.0,78.0,80.0,72.0,90.0,62.0,75.0,73.0,80.0,80.0,83.0,46.0,85.0,nan,82.0,80.0,6.0,9.0,15.0,14.0,14.0,RB,86.0,€137.6M,79.0
200458,L. Digne,27,https://cdn.sofifa.com/players/200/458/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,84,84,Everton,https://cdn.sofifa.com/teams/7/30.png,€40.5M,€110K,2227,Left,2.0,2.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos7"">LB",12.0,"Aug 1, 2018",nan,2023,178cm,74kg,88.0,60.0,71.0,81.0,68.0,78.0,83.0,83.0,73.0,84.0,81.0,77.0,74.0,83.0,78.0,83.0,94.0,86.0,69.0,76.0,76.0,82.0,73.0,75.0,60.0,81.0,nan,83.0,84.0,6.0,12.0,9.0,6.0,13.0,LB,84.0,€77M,78.0
208574,F. Kostić,28,https://cdn.sofifa.com/players/208/574/22_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,84,84,Eintracht Frankfurt,https://cdn.sofifa.com/teams/1824/30.png,€42.5M,€52K,2227,Left,3.0,2.0,3.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos16"">LM",10.0,"May 17, 2019",nan,2023,184cm,82kg,91.0,75.0,59.0,80.0,70.0,85.0,79.0,80.0,75.0,82.0,89.0,88.0,76.0,82.0,79.0,85.0,67.0,90.0,77.0,78.0,80.0,63.0,79.0,81.0,64.0,80.0,nan,72.0,68.0,13.0,14.0,12.0,12.0,13.0,LM,84.0,€72.3M,69.0
231281,T. Alexander-Arnold,22,https://cdn.sofifa.com/players/231/281/22_60.png,England,https://cdn.sofifa.com/flags/gb-eng.png,87,92,Liverpool,https://cdn.sofifa.com/teams/9/30.png,€114M,€150K,2227,Right,3.0,4.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos3"">RB",66.0,"Oct 7, 2015",nan,2025,180cm,69kg,92.0,60.0,69.0,86.0,62.0,78.0,87.0,85.0,90.0,86.0,77.0,80.0,73.0,82.0,73.0,82.0,66.0,88.0,63.0,75.0,74.0,82.0,77.0,87.0,55.0,81.0,nan,83.0,79.0,14.0,15.0,14.0,6.0,7.0,RB,87.0,€219.5M,80.0
223848,S. Milinković-Savić,26,https://cdn.sofifa.com/players/223/848/22_60.png,Serbia,https://cdn.sofifa.com/flags/rs.png,85,87,Lazio,https://cdn.sofifa.com/teams/46/30.png,€66M,€100K,2224,Right,3.0,5.0,4.0,High/ Medium,Normal (185+),Yes,"<span class=""pos pos13"">RCM",21.0,"Aug 6, 2015",nan,2024,191cm,76kg,64.0,80.0,86.0,85.0,74.0,84.0,80.0,78.0,85.0,86.0,66.0,70.0,62.0,83.0,63.0,83.0,85.0,91.0,87.0,80.0,79.0,78.0,79.0,82.0,56.0,84.0,nan,79.0,74.0,7.0,10.0,7.0,16.0,7.0,CM,86.0,€117.2M,78.0
181872,A. Vidal,34,https://cdn.sofifa.com/players/181/872/22_60.png,Chile,https://cdn.sofifa.com/flags/cl.png,81,81,Inter,https://cdn.sofifa.com/teams/44/30.png,€12M,€105K,2224,Right,4.0,4.0,3.0,High/ High,Unique,Yes,"<span class=""pos pos28"">SUB",22.0,"Sep 22, 2020",nan,2022,180cm,75kg,76.0,75.0,81.0,81.0,78.0,76.0,76.0,68.0,79.0,83.0,66.0,65.0,81.0,81.0,77.0,84.0,82.0,78.0,80.0,81.0,92.0,82.0,78.0,80.0,81.0,80.0,nan,84.0,83.0,4.0,2.0,4.0,2.0,4.0,CM,82.0,€20.4M,80.0
195864,P. Pogba,28,https://cdn.sofifa.com/players/195/864/22_60.png,France,https://cdn.sofifa.com/flags/fr.png,87,87,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€79.5M,€220K,2222,Right,4.0,4.0,5.0,High/ Medium,Unique,Yes,"<span class=""pos pos9"">RDM",6.0,"Aug 9, 2016",nan,2022,191cm,84kg,77.0,75.0,74.0,88.0,84.0,88.0,85.0,82.0,92.0,90.0,63.0,77.0,73.0,83.0,67.0,90.0,82.0,77.0,89.0,84.0,78.0,65.0,80.0,89.0,81.0,88.0,nan,67.0,63.0,5.0,6.0,2.0,4.0,3.0,CM,87.0,€147.1M,59.0
200145,Casemiro,29,https://cdn.sofifa.com/players/200/145/22_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,89,89,Real Madrid CF,https://cdn.sofifa.com/teams/243/30.png,€88M,€310K,2219,Right,3.0,3.0,2.0,High/ High,Unique,Yes,"<span class=""pos pos10"">CDM",14.0,"Jul 11, 2013",nan,2025,185cm,84kg,58.0,64.0,79.0,84.0,62.0,69.0,62.0,74.0,84.0,79.0,60.0,69.0,61.0,87.0,66.0,88.0,87.0,89.0,90.0,81.0,91.0,87.0,75.0,80.0,66.0,84.0,nan,88.0,87.0,13.0,14.0,16.0,12.0,12.0,CDM,89.0,€180.4M,85.0
158023,L. Messi,34,https://cdn.sofifa.com/players/158/023/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,93,93,Paris Saint-Germain,https://cdn.sofifa.com/teams/73/30.png,€78M,€320K,2219,Left,5.0,4.0,4.0,Medium/ Low,Unique,Yes,"<span class=""pos pos23"">RW",30.0,"Aug 10, 2021",nan,2023,170cm,72kg,85.0,95.0,70.0,91.0,88.0,96.0,93.0,94.0,91.0,96.0,91.0,80.0,91.0,94.0,95.0,86.0,68.0,72.0,69.0,94.0,44.0,40.0,93.0,95.0,75.0,96.0,nan,35.0,24.0,6.0,11.0,15.0,14.0,8.0,RW,93.0,€144.3M,20.0
230767,Renato Sanches,23,https://cdn.sofifa.com/players/230/767/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,80,86,LOSC Lille,https://cdn.sofifa.com/teams/65/30.png,€33M,€38K,2218,Right,3.0,4.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos15"">LCM",18.0,"Aug 23, 2019",nan,2023,176cm,70kg,72.0,67.0,61.0,81.0,68.0,84.0,69.0,68.0,79.0,83.0,86.0,83.0,85.0,80.0,89.0,89.0,84.0,87.0,83.0,78.0,84.0,75.0,74.0,79.0,68.0,83.0,nan,74.0,65.0,5.0,12.0,6.0,13.0,14.0,CAM,83.0,€69.3M,73.0
205632,L. Ocampos,26,https://cdn.sofifa.com/players/205/632/22_60.png,Argentina,https://cdn.sofifa.com/flags/ar.png,83,83,Sevilla FC,https://cdn.sofifa.com/teams/481/30.png,€39.5M,€46K,2215,Right,2.0,3.0,4.0,High/ High,Normal (185+),No,"<span class=""pos pos27"">LW",5.0,"Jul 3, 2019",nan,2024,188cm,84kg,79.0,86.0,77.0,80.0,81.0,85.0,80.0,65.0,72.0,84.0,80.0,82.0,79.0,85.0,61.0,84.0,80.0,91.0,81.0,80.0,82.0,72.0,84.0,79.0,79.0,82.0,nan,61.0,55.0,11.0,8.0,15.0,12.0,7.0,LW,83.0,€83M,58.0
189332,Jordi Alba,32,https://cdn.sofifa.com/players/189/332/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,86,86,FC Barcelona,https://cdn.sofifa.com/teams/241/30.png,€47M,€200K,2215,Left,3.0,3.0,3.0,High/ Medium,Unique,Yes,"<span class=""pos pos7"">LB",18.0,"Jul 1, 2012",nan,2024,170cm,68kg,85.0,73.0,70.0,85.0,60.0,81.0,80.0,63.0,79.0,85.0,87.0,86.0,90.0,80.0,85.0,64.0,80.0,87.0,61.0,66.0,75.0,81.0,83.0,78.0,59.0,80.0,nan,78.0,80.0,13.0,15.0,13.0,6.0,13.0,LB,86.0,€96.4M,74.0
188545,R. Lewandowski,32,https://cdn.sofifa.com/players/188/545/22_60.png,Poland,https://cdn.sofifa.com/flags/pl.png,92,92,FC Bayern München,https://cdn.sofifa.com/teams/21/30.png,€119.5M,€270K,2212,Right,5.0,4.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos25"">ST",9.0,"Jul 1, 2014",nan,2023,185cm,81kg,71.0,95.0,90.0,85.0,89.0,85.0,79.0,85.0,70.0,88.0,77.0,79.0,77.0,93.0,82.0,90.0,85.0,76.0,86.0,87.0,81.0,49.0,95.0,81.0,90.0,88.0,nan,42.0,19.0,15.0,6.0,12.0,8.0,10.0,ST,92.0,€197.2M,35.0
209331,M. Salah,29,https://cdn.sofifa.com/players/209/331/22_60.png,Egypt,https://cdn.sofifa.com/flags/eg.png,89,89,Liverpool,https://cdn.sofifa.com/teams/9/30.png,€101M,€270K,2211,Left,4.0,3.0,4.0,High/ Medium,Unique,Yes,"<span class=""pos pos23"">RW",11.0,"Jul 1, 2017",nan,2023,175cm,71kg,79.0,91.0,59.0,84.0,81.0,90.0,83.0,69.0,75.0,89.0,89.0,91.0,91.0,92.0,91.0,82.0,69.0,85.0,75.0,84.0,63.0,55.0,91.0,83.0,86.0,90.0,nan,43.0,41.0,14.0,14.0,9.0,11.0,14.0,RW,89.0,€186.9M,38.0
220651,Angeliño,24,https://cdn.sofifa.com/players/220/651/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,86,RB Leipzig,https://cdn.sofifa.com/teams/112172/30.png,€46M,€77K,2209,Left,2.0,3.0,4.0,High/ High,Normal (170-185),Yes,"<span class=""pos pos7"">LB",3.0,"Feb 12, 2021",nan,2025,175cm,69kg,88.0,70.0,65.0,81.0,63.0,84.0,83.0,76.0,81.0,84.0,85.0,73.0,83.0,82.0,85.0,80.0,73.0,85.0,60.0,69.0,77.0,80.0,79.0,79.0,55.0,81.0,nan,74.0,80.0,13.0,6.0,13.0,13.0,13.0,LM,84.0,€81.7M,77.0
20801,Cristiano Ronaldo,36,https://cdn.sofifa.com/players/020/801/22_60.png,Portugal,https://cdn.sofifa.com/flags/pt.png,91,91,Manchester United,https://cdn.sofifa.com/teams/11/30.png,€45M,€270K,2208,Right,5.0,4.0,5.0,High/ Low,Unique,Yes,"<span class=""pos pos25"">ST",7.0,"Aug 27, 2021",nan,2023,187cm,83kg,87.0,95.0,90.0,80.0,86.0,88.0,81.0,84.0,77.0,88.0,85.0,88.0,86.0,94.0,74.0,94.0,95.0,77.0,77.0,93.0,63.0,29.0,95.0,76.0,88.0,95.0,nan,32.0,24.0,7.0,11.0,15.0,14.0,11.0,ST,91.0,€83.3M,24.0
1040,12 Roberto Carlos,38,https://cdn.sofifa.com/players/001/040/12_60.png,Brazil,https://cdn.sofifa.com/flags/br.png,79,79,FC Anzhi Makhachkala,https://cdn.sofifa.com/teams/100766/30.png,€0,€30K,2207,Left,2.0,2.0,3.0,Medium/ High,Stocky (170-),Yes,"<span class=""pos pos28"">SUB",3.0,"Jan 1, 2011",nan,2013,168cm,70kg,80.0,43.0,54.0,78.0,73.0,74.0,88.0,88.0,82.0,82.0,77.0,78.0,74.0,77.0,85.0,91.0,83.0,60.0,84.0,85.0,74.0,82.0,60.0,82.0,79.0,nan,81.0,75.0,84.0,8.0,12.0,10.0,13.0,11.0,CDM,79.0,nan,nan
190286,Canales,30,https://cdn.sofifa.com/players/190/286/22_60.png,Spain,https://cdn.sofifa.com/flags/es.png,83,83,Real Betis Balompié,https://cdn.sofifa.com/teams/449/30.png,€34.5M,€38K,2205,Left,2.0,3.0,4.0,High/ Medium,Lean (170-185),Yes,"<span class=""pos pos16"">LM",10.0,"Jul 3, 2018",nan,2023,176cm,65kg,81.0,79.0,50.0,84.0,67.0,82.0,85.0,84.0,87.0,83.0,85.0,82.0,83.0,83.0,79.0,78.0,38.0,80.0,71.0,84.0,68.0,77.0,85.0,89.0,80.0,80.0,nan,71.0,58.0,15.0,12.0,16.0,13.0,12.0,CAM,84.0,€72.5M,64.0
